month,ticket_count,forecast
2023-09-01,3.0,
2023-10-01,9.0,
2023-11-01,11.0,
2023-12-01,33.0,
2024-01-01,43.0,
2024-02-01,46.0,
2024-03-01,50.0,
2024-04-01,58.0,
2024-05-01,76.0,
2024-06-01,62.0,
2024-07-01,56.0,
2024-08-01,128.0,
2024-09-01,126.0,
2024-10-01,109.0,
2024-11-01,97.0,
2024-12-01,118.0,
2025-01-01,154.0,
2025-02-01,129.0,
2025-03-01,139.0,
2025-04-01,133.0,
2025-05-01,143.0,
2025-06-01,132.0,
2025-07-01,142.0,
2025-08-01,257.0,
2025-09-01,242.0,
2025-10-01,210.0,
2025-11-01,205.0,
2025-12-01,231.0,
2026-01-01,317.0,
2026-02-01,223.0,
2026-03-01,247.0,
2026-04-01,258.0,
2026-05-01,283.0,
2026-06-01,240.0,
2026-07-01,247.0,
2026-08-01,366.0,
2026-09-01,,331.49973187045083
2026-10-01,,317.1664534020254
2026-11-01,,312.1666734894919
2026-12-01,,335.16701118821936
